"source_1"	"source_2"	"source_3"	"source_4"	"source_5"	"rank_product"	"rank_final"
"269593"	8	3	NA	NA	1	0.961499713538272	1
"28018"	10	1	NA	NA	43	2.51594743809586	2
"18491"	37	8	NA	NA	2	2.7988909692056	3
"76974"	NA	NA	44.5	2	NA	4.7169905660283	4
"14120"	NA	NA	2	57.5	NA	5.3619026473818	5
"104943"	NA	NA	1	171	35	6.05201687342198	6
"20744"	1	168	NA	NA	NA	6.48074069840786	7
"23797"	79	10	NA	NA	10	6.63877233763304	8
"18472"	103	25	92	NA	3	7.25874579631198	9
"19726"	51	9	NA	NA	37	8.56808070312633	10
"20679"	13	7	NA	NA	239	9.30447435108502	11
"99382"	NA	639.5	5	NA	8	9.82152497463932	12
"320292"	139	6	NA	NA	32	9.96133215397067	13
"245841"	NA	NA	74.5	7	NA	11.4181872466692	14
"17933"	98	24	NA	NA	18	11.6175714671274	15
"245555"	12	NA	NA	NA	45	11.6189500386223	16
"12234"	26	149	NA	NA	12	11.9855793852498	17
"80708"	NA	NA	196.5	3	NA	12.139810542179	18
"194388"	3	283	73	66	273	12.9008231640716	19
"16574"	56	222.5	NA	NA	5	13.2142167904339	20
"241311"	14	28	NA	NA	178	13.7229485489819	21
"18141"	152	78.5	NA	NA	6	13.8409822056282	22
"213988"	2	53.5	NA	NA	672	13.8610595344492	23
"217218"	208	4	NA	NA	NA	14.422205101856	24
"22031"	22	363	10	NA	144	14.5583768857649	25
"12816"	NA	14	NA	62	NA	14.7309198626562	26
"210126"	4	NA	241.5	NA	NA	15.5402702679201	27
"18021"	29	41	NA	NA	91	15.8837543155809	28
"16337"	27	64.5	NA	NA	64	16.0415586282336	29
"93736"	17	336	NA	NA	21	16.4392213480025	30
"387510"	NA	NA	14	80.5	NA	16.7854103315945	31
"224762"	NA	NA	226.5	5	NA	16.8263186704638	32
"78832"	186	56.5	NA	NA	13	17.1677610554804	33
"14373"	317	136	NA	1	607	17.8807908821277	34
"80750"	66	350.5	NA	NA	7	18.1686256993878	35
"74340"	177	36.5	NA	NA	26	18.3918424596876	36
"236511"	18	17	NA	NA	551	18.4149164906803	37
"382423"	270	2	NA	NA	322	18.6049549369005	38
"68152"	NA	30	NA	NA	47	18.7749833555186	39
"382639"	NA	NA	29.5	NA	50	19.2028643696715	40
"74016"	166	105	NA	NA	11	19.2209759823063	41
"16974"	102	39	NA	235	38	19.3005225794792	42
"20760"	NA	NA	96.5	16	NA	19.6468827043885	43
"223918"	127	5	NA	NA	331	19.8188895928786	44
"19087"	49	313.5	145	NA	20	20.4243344964002	45
"237943"	521	117	NA	NA	4	20.8244370905591	46
"71745"	482	237	NA	6	76	21.238804406044	47
"12050"	55	16	NA	NA	320	21.8485672160172	48
"20518"	NA	NA	148	13	NA	21.9317121994613	49
"235047"	NA	NA	15.5	NA	126	22.0963797939844	50
"231207"	88	45	NA	NA	74	22.1405147580829	51
"12753"	NA	15	NA	NA	131	22.1641602593015	52
"67120"	11	47.5	NA	NA	574	22.312323996233	53
"320538"	15	66.5	NA	NA	307	22.4679011884721	54
"67821"	222	38	147	NA	55	22.7192587364136	55
"80892"	235	153.5	NA	NA	9	22.9096433941699	56
"212377"	NA	NA	194.5	11	NA	23.1273647439565	57
"26419"	115	74.5	NA	NA	39	23.1304981110239	58
"58887"	NA	NA	3	NA	719.5	23.2298299606347	59
"69399"	16	385.5	NA	224	56	23.4468827277745	60
"67306"	NA	NA	NA	132	17	23.685438564654	61
"18843"	NA	525	87	8	NA	23.8305972157981	62
"53317"	NA	671	11	51	NA	24.068029719311	63
"53881"	62	NA	12	NA	534	24.5047424758938	64
"121022"	NA	NA	21.5	115.5	NA	24.9161092468307	65
"16815"	NA	NA	20	126	NA	25.0998007960223	66
"13669"	606	32	NA	56	96	25.2615779082543	67
"237459"	323	92	NA	NA	15	25.4627876490327	68
"78283"	NA	657.5	4	NA	NA	25.6417628099162	69
"236794"	36	51	NA	NA	251	25.7470540507631	70
"69183"	NA	NA	65	115.5	65	26.2430904800849	71
"11532"	NA	600	71.5	10	291	26.4257656330337	72
"237336"	494	74.5	NA	59	60	26.7092460924052	73
"192292"	552	92	NA	9	297	26.9849411100448	74
"66538"	NA	NA	21.5	142	NA	27.6269795670826	75
"329540"	42	156.5	NA	NA	88	27.7733017973188	76
"212391"	NA	NA	32	NA	97	27.8567765543682	77
"231464"	NA	101	NA	NA	31	27.9776696670756	78
"53614"	333	71.5	NA	NA	25	28.0398384157139	79
"53612"	NA	623.5	139	4	475	28.3198679131637	80
"666060"	575	671	6.5	51	446	28.3316420999004	81
"225631"	46	483.5	24	NA	310	28.3544886850345	82
"12227"	164	78.5	NA	NA	48	28.3920657889164	83
"17257"	5	667	NA	NA	NA	28.8747294359618	84
"433022"	7	209	NA	NA	473	29.4836038706405	85
"667034"	NA	NA	15.5	NA	226	29.5930735139154	86
"20481"	67	18	NA	NA	586	29.6911523361215	87
"58235"	155	84	NA	NA	57	30.1791746644766	88
"20763"	NA	NA	136	27	NA	30.2985148150862	89
"67792"	NA	565	6.5	NA	NA	30.3005775522514	90
"231580"	NA	NA	126	30	NA	30.7408522978788	91
"224691"	NA	NA	222.5	17	NA	30.7510162433699	92
"17420"	NA	NA	40	95	NA	30.8220700148449	93
"77827"	NA	NA	29.5	129	NA	30.8443673950366	94
"12212"	43	95	NA	NA	201	31.2134268432623	95
"83995"	NA	NA	170	23	NA	31.264996401727	96
"76850"	113	20	NA	NA	370	31.4037949523574	97
"68149"	NA	NA	9	NA	445	31.6425346645935	98
"56350"	NA	44	NA	76	257	31.6916761494152	99
"319642"	NA	117	161	NA	46	31.7786371644869	100
"110454"	NA	NA	170	24	NA	31.9374388453426	101
"14299"	201	140	138	NA	73	32.4393033220311	102
"217715"	NA	725	47	73	119	32.791888618365	103
"319965"	349	22.5	NA	225	169	32.8631584383049	104
"71955"	NA	NA	231	NA	19	33.1247641501038	105
"15894"	NA	NA	51.5	86	NA	33.2753662639497	106
"16798"	87	141	NA	NA	86	33.9331635872008	107
"75723"	24	322	NA	NA	138	34.0560398395003	108
"56747"	NA	NA	27	NA	172	34.0734500748016	109
"13205"	625	130	118.5	NA	36	34.1115193701687	110
"67398"	608	228	NA	181	14	34.2256155646129	111
"67135"	NA	357	74.5	19	705	34.3464464186221	112
"30878"	124	13	NA	NA	692	34.5702448818333	113
"93836"	202	11	NA	237	695	34.5787516101824	114
"269642"	19	255.5	NA	NA	NA	34.8371210061911	115
"81004"	71	69	NA	NA	NA	34.9964283891942	116
"20623"	144	528.5	34	NA	149	35.0314550199275	117
"228839"	99	132.5	NA	92	NA	35.4888324766418	118
"19317"	60	86.5	NA	NA	NA	36.0208273086558	119
"69533"	NA	NA	17.5	NA	300	36.2284418654736	120
"75320"	105	294	NA	NA	42	36.3474587129577	121
"97895"	NA	NA	172	31	NA	36.5102725270574	122
"228012"	276	165.5	NA	NA	29	36.6083738579902	123
"52335"	9	633	NA	232	367	37.1013810385909	124
"11480"	89	34.5	NA	NA	464	37.507758065669	125
"99377"	440	49.5	NA	66	357	37.6276863660443	126
"66713"	205	580.5	50	252	159	37.7133183010367	127
"69351"	NA	NA	31	80.5	585	37.813762489247	128
"56392"	467	12	NA	NA	261	37.83771978268	129
"330814"	137	207	NA	NA	52	37.9411214995788	130
"72519"	609	102	NA	NA	24	38.0792436824576	131
"230796"	185	20	NA	NA	403	38.0815253224752	132
"74137"	224	713.5	13	NA	260	38.1135746305497	133
"75812"	NA	200.5	43	261	241	38.1504885887681	134
"68904"	81	NA	174.5	NA	107	38.2619254540768	135
"244373"	94	NA	136	NA	120	38.4439568645832	136
"23806"	136	143	NA	NA	79	38.4632600331013	137
"210973"	442	26	NA	NA	139	38.9656762478458	138
"22421"	291	34.5	NA	NA	160	39.0381684918206	139
"333639"	NA	762	8	NA	NA	39.0384425918863	140
"13607"	68	NA	236	119.5	312	39.0999194241512	141
"18624"	NA	NA	111.5	55	NA	39.1551401478784	142
"21745"	NA	NA	44.5	145	NA	40.1637274166629	143
"107260"	260	466.5	NA	15	NA	40.6927927910546	144
"13549"	585	143	NA	22	383	40.735058867217	145
"71472"	659	52	NA	54	NA	40.9235139566385	146
"77128"	38	301.5	NA	NA	163	41.0485906819196	147
"19279"	NA	22.5	NA	NA	306	41.487950057818	148
"66179"	NA	NA	200.5	36.5	267	41.6726942391099	149
"56188"	NA	NA	82	36.5	661	41.8454398664285	150
"23831"	645	NA	222.5	14	NA	42.0614913505138	151
"52679"	78	46	NA	NA	562	42.1122386347742	152
"50754"	85	241.5	NA	NA	99	42.2217111613528	153
"19226"	612	343	NA	45	87	42.3286420276798	154
